Game Name,Genre,Platform,Mode,Style,Difficulty,Rating,Release Year,Developer,Graphics Type,Game Length,Multiplayer Type,Popularity Score
Epic Champions 1,Racing,Mobile,Single Player,Tactical,Easy,7.7,2023,Nintendo,Anime,Medium,Solo,78
Mystic World 2,Shooter,Xbox,Single Player,Story Based,Easy,9.6,2018,Bethesda,Cartoon,Medium,Competitive,92
Battle Arena 3,RPG,Mobile,Single Player,Story Based,Hard,8.9,2023,Capcom,Cartoon,Short,Online Co-op,76
Space Raiders 4,Survival,PC,Multiplayer,Story Based,Hard,8.5,2020,Activision,Cartoon,Long,Competitive,72
Road Fury 5,Strategy,Nintendo,Single Player,Simulation,Easy,7.0,2016,Activision,Pixel,Long,Solo,95
Dark Odyssey 6,Racing,PC,Single Player,Sandbox,Hard,7.0,2022,EA Sports,Realistic,Medium,Casual,87
Space Raiders 7,Horror,PC,Single Player,Tactical,Hard,6.7,2020,Epic Games,Anime,Medium,LAN,80
Pixel Warriors 8,Action,PC,Single Player,Battle Royale,Hard,9.4,2021,EA Sports,Realistic,Long,LAN,76
Cyber Quest 9,Simulation,Mobile,Single Player,Simulation,Hard,8.5,2021,EA Sports,Realistic,Short,Casual,78
Shadow Strike 10,RPG,Nintendo,Multiplayer,Open World,Easy,8.8,2023,Capcom,Realistic,Long,Online Co-op,70
Speed Legends 11,Action,Xbox,Multiplayer,Battle Royale,Easy,6.6,2024,Nintendo,Cartoon,Long,Online Co-op,98
Pixel Warriors 12,Action,Xbox,Single Player,Sandbox,Hard,9.7,2017,Nintendo,3D,Long,Competitive,83
Night Hunter 13,Sports,Mobile,Single Player,Sandbox,Medium,9.2,2024,Valve,Cartoon,Long,Casual,89
Epic Champions 14,Survival,Nintendo,Multiplayer,Sandbox,Easy,7.2,2025,Bethesda,Cartoon,Medium,Online Co-op,75
Epic Champions 15,Simulation,Mobile,Single Player,Battle Royale,Easy,7.1,2024,Capcom,Realistic,Medium,Casual,76
Pixel Warriors 16,Shooter,PC,Single Player,Battle Royale,Hard,7.1,2025,Valve,Cartoon,Short,Solo,79
Speed Legends 17,Strategy,PlayStation,Multiplayer,Story Based,Easy,7.5,2025,Rockstar,Realistic,Short,LAN,76
Pixel Warriors 18,Survival,Nintendo,Multiplayer,Open World,Hard,8.2,2022,Bethesda,3D,Short,LAN,95
Space Raiders 19,Strategy,PC,Single Player,Battle Royale,Easy,7.9,2016,Bethesda,Anime,Short,LAN,71
Battle Arena 20,RPG,PlayStation,Multiplayer,Simulation,Easy,7.5,2022,CD Projekt,Realistic,Long,Casual,99
Dragon Realm 21,Horror,PC,Single Player,Simulation,Hard,8.5,2025,CD Projekt,3D,Medium,Casual,73
Survival Zone 22,Strategy,Mobile,Multiplayer,Sandbox,Medium,7.0,2020,Ubisoft,Anime,Medium,Competitive,90
Dragon Realm 23,Adventure,PlayStation,Single Player,Sandbox,Easy,7.5,2021,Ubisoft,Pixel,Short,LAN,99
Mystic World 24,Action,Xbox,Single Player,Simulation,Hard,7.7,2025,EA Sports,Realistic,Short,Competitive,97
Dark Odyssey 25,Racing,PC,Single Player,Sandbox,Medium,8.0,2022,Rockstar,Realistic,Long,LAN,86
Fantasy Kings 26,Action,Xbox,Single Player,Tactical,Medium,9.1,2020,Activision,Pixel,Long,Competitive,70
Battle Arena 27,Survival,PlayStation,Multiplayer,Tactical,Hard,7.2,2022,Activision,Pixel,Short,Competitive,79
Survival Zone 28,Adventure,PlayStation,Single Player,Battle Royale,Medium,8.2,2024,CD Projekt,Realistic,Medium,Solo,88
Dark Odyssey 29,Simulation,Xbox,Multiplayer,Story Based,Medium,8.5,2018,CD Projekt,Pixel,Medium,Competitive,84
Epic Champions 30,Shooter,Mobile,Single Player,Tactical,Easy,6.7,2023,CD Projekt,Cartoon,Medium,Casual,79
Epic Champions 31,Racing,PC,Multiplayer,Battle Royale,Medium,8.5,2017,Capcom,Anime,Short,Competitive,88
Hero Clash 32,Horror,PlayStation,Multiplayer,Open World,Easy,7.1,2022,Epic Games,Anime,Medium,LAN,81
Cyber Quest 33,RPG,Nintendo,Multiplayer,Simulation,Hard,6.7,2017,Ubisoft,Anime,Long,Competitive,93
Fantasy Kings 34,Simulation,PlayStation,Single Player,Tactical,Easy,9.6,2019,Capcom,Cartoon,Long,Online Co-op,85
Survival Zone 35,Adventure,Nintendo,Multiplayer,Tactical,Easy,9.7,2022,Nintendo,Pixel,Short,LAN,78
Hero Clash 36,Strategy,Nintendo,Multiplayer,Simulation,Medium,9.2,2018,Activision,3D,Long,Online Co-op,84
Zombie Escape 37,Action,Mobile,Multiplayer,Battle Royale,Easy,7.5,2017,Bethesda,Pixel,Short,LAN,99
Hero Clash 38,Survival,PC,Multiplayer,Sandbox,Medium,6.8,2025,Ubisoft,Realistic,Medium,Casual,96
Pixel Warriors 39,Horror,Mobile,Single Player,Story Based,Easy,8.8,2022,Valve,Anime,Medium,Casual,97
Survival Zone 40,RPG,PlayStation,Multiplayer,Story Based,Medium,8.0,2016,Nintendo,Pixel,Medium,Casual,86
Dark Odyssey 41,Sports,Mobile,Multiplayer,Story Based,Hard,6.9,2023,Ubisoft,3D,Long,Online Co-op,83
